data file,csfla reference,high generations,high n frogs,high n memeplexes,high n sm frogs,high sub generations,highest n frogs,low generations,low n frogs,low n memeplexes,low n sm frogs,low sub generations,medium generations,medium n frogs,medium n memeplexes,medium n sm frogs,medium sub generations
data/EUR_GBP/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,-6.492237984104418e-05,-5.715758860081254e-05,-1.742657167355848e-05,-0.0002497039541779451,-7.179721205220131e-05,-9.224491557730796e-05,-7.374478007161683e-05,-0.0002059202753352044,-0.0001584483953546664,-4.450330519441308e-05,-3.959761611502459e-05,-4.762583083732611e-05,-6.1000418246901426e-05,-3.972448595189217e-05,-8.43546226404976e-05,-5.513288958857058e-05,-4.791008543123067e-05
data/EUR_GBP/fx-spot_EUR_GBP_10min_201307.txt:fx-spot_EUR_GBP_10min_201307:0:20:21:30,0.00018509118605487102,1.2143673659485079e-05,0.00012030324424619477,0.00036922162698052195,0.0001375648498923554,6.224695826511972e-05,0.00011882005756931489,0.0003642133351293264,0.00013051862558787584,0.00011778441247906528,0.00011268545487789641,0.000112087099607815,0.00018768805554444077,0.00012549683130852292,0.00018306220176435067,0.00010537777228374298,9.738428115347939e-05
data/EUR_GBP/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,-8.42588255476105e-05,-0.0004341424410825071,-7.365680249067463e-05,-0.00014044922463133018,-0.00011935982506036404,-0.0001810181383266713,-5.693261176650603e-05,-0.00020232279914196127,-0.0001468437700987797,-0.00026415480803374056,-0.00018104703858058845,-0.00011834243567030738,-9.101953330395614e-05,-8.603150532446733e-05,-9.521384198350242e-05,-8.917746824752417e-05,-0.00027685959409507187
data/EUR_USD/fx-spot_EUR_USD_10min_201306.txt:fx-spot_EUR_USD_10min_201306:02:20:21:29,-0.00010868155380089575,-0.0003920154701665484,-5.034492736767205e-05,-0.0001270928392693705,8.282944940958286e-05,0.000171252977677724,2.701130609597675e-05,2.0699570396449013e-05,-6.445264218258544e-05,0.00017100899015987163,-2.6357913206757645e-05,-2.08207477815657e-06,-6.981843207416719e-05,3.779715843958604e-05,-0.00013527661361826287,9.133645348594866e-06,3.000520168492493e-05
data/EUR_USD/fx-spot_EUR_USD_10min_201307.txt:fx-spot_EUR_USD_10min_201307:02:20:21:31,0.00033267632686507435,-4.0213300347575725e-05,1.2466730877913136e-06,0.0008390687649921186,0.00042428899879946787,0.0003728343584433814,0.0001991244712405724,0.0008310491784332394,0.00043888441880182835,2.5458247655888238e-05,0.00012602277888147618,-0.00010003306298476426,0.0006158333300083526,0.0002825627469620373,0.0007770869277315086,0.00020850896537104438,0.00029107249261282615
data/EUR_USD/fx-spot_EUR_USD_10min_201308.txt:fx-spot_EUR_USD_10min_201308:02:20:21:29,-7.027424870762897e-05,-0.0005183838569893475,-7.339447284803446e-05,1.8923888908950602e-05,-7.477507171227711e-05,-0.00012656022341213692,-0.00018462914006615365,4.9640580898332826e-05,-0.00024405396723244557,-0.00022334401124586117,-0.00014258906059710563,-0.0001643455593348734,-7.993369754434128e-05,4.8325271099762684e-05,-0.00011133688777213859,-0.00018294269686521444,-9.864204421946513e-05
data/GBP_CHF/fx-spot_GBP_CHF_10min_201306.txt:fx-spot_GBP_CHF_10min_201306:02:20:21:27,4.543565463304507e-06,3.238965664716556e-05,-1.8605454809009402e-05,-1.9269521641632285e-05,3.698017700981665e-05,-1.2490090455141694e-05,1.5709195768232132e-05,1.7416827086295695e-06,1.741179090823983e-05,2.099433940071525e-06,2.9018226059950485e-05,2.4921755787026395e-05,1.3443126126621957e-05,1.2222418645006422e-05,-4.36766537708472e-05,5.307880429236129e-06,2.175704237136128e-05
data/GBP_CHF/fx-spot_GBP_CHF_10min_201307.txt:fx-spot_GBP_CHF_10min_201307:02:20:21:28,-0.00015814589404132619,-0.00035485093753007395,-3.712923868311518e-05,-6.769824948586656e-06,-0.00015569776975844727,-0.00010930923369354105,-1.0765361479359357e-05,-8.264541978102101e-07,-9.810773908785475e-05,-0.00013245515841037365,-0.00023483244813092248,-0.00018273512708929057,-9.68427028283572e-05,-6.288653837410952e-05,-3.516115343535306e-05,-0.00017374781870823386,-0.00011663331667059553
data/GBP_CHF/fx-spot_GBP_CHF_10min_201308.txt:fx-spot_GBP_CHF_10min_201308:02:20:21:25,-7.091650667898375e-05,-2.8787276911403845e-05,-1.0394693991611764e-05,-3.5269485594683635e-05,-1.622982851690555e-05,-5.371314141415837e-05,-1.9486711875285248e-05,-4.115357153439455e-05,-7.198734525517894e-05,1.3383744213571911e-05,-5.203713010606372e-06,-2.167020755010705e-05,-3.1813037215404995e-05,-6.04985825532069e-06,-3.362837247178931e-06,-4.7040919139152074e-05,-3.444446429484451e-05
data/GBP_USD/fx-spot_GBP_USD_10min_201306.txt:fx-spot_GBP_USD_10min_201306:02:20:21:28,-0.00012328115606509614,-5.648483675765184e-05,-0.0004134743533376443,-0.0001731333701280011,-5.9522231664600484e-05,-0.0001279439263069572,-0.0001535883448969359,-4.02854468281015e-05,-0.0002187377439462736,-0.000871590307003386,-4.212654941932647e-05,-0.00016113848809591437,-0.0004317175914278646,-0.00023973125386513245,-9.470710595437585e-05,-0.00035723971314242307,-0.00015086739162693144
data/GBP_USD/fx-spot_GBP_USD_10min_201307.txt:fx-spot_GBP_USD_10min_201307:02:20:21:29,0.00010230316595757392,0.0009647953941256277,4.226539443715728e-05,-8.469332926022916e-05,0.00034578753831898733,8.570233652000202e-05,0.0002625662713848551,-0.00010689340709000654,9.754901375592839e-05,0.0002517582506199159,0.0006367543874761462,0.00041241445064549016,0.00011745246834858683,0.00014906818291631182,8.992511984066357e-05,0.0005856040254024651,0.00015208115665576324
data/GBP_USD/fx-spot_GBP_USD_10min_201308.txt:fx-spot_GBP_USD_10min_201308:02:20:21:28,0.00016919660914536423,5.079832328018103e-05,0.00016469606708820788,-6.7340379018636725e-06,0.0002028312343748828,7.25108897932008e-05,0.0001102543416246929,-6.267525628333266e-05,0.0001553820092809966,0.0001552905419022897,-0.000135148302082867,0.00023610901967073848,0.00021926609321087844,0.00027926588303663514,0.00015231223890514956,0.00010325105243587432,0.00010345433271717417
